JD,Phase,Flux,col4
1323.7337, 0.093269148, 0.92363274,
1323.7341, 0.093359552, 0.92722785,
1323.7368, 0.093901975, 0.92431122,
1323.7372, 0.093992379, 0.92462850,
1323.7582, 0.098303217, 0.93383992,
1323.7586, 0.098393620, 0.92556298,
1323.7630, 0.099288143, 0.92951345,
1323.7634, 0.099378547, 0.93421334,
1323.7671, 0.10013271, 0.92396140,
1323.7712, 0.10097013, 0.92899573,
1323.7716, 0.10106053, 0.93402582,
1323.7753, 0.10181469, 0.92477977,
1323.7757, 0.10190510, 0.92255819,
1323.7978, 0.10644908, 0.92912835,
1324.7489, 0.30194032, 1.0598955,
1324.7493, 0.30203072, 1.0595202,
1324.7559, 0.30337964, 1.0667539,
1324.7563, 0.30347480, 1.0620240,
1324.7608, 0.30438360, 1.0596956,
1324.7612, 0.30447400, 1.0552849,
1324.7648, 0.30522103, 1.0650504,
